industry;etf
Consumer Electronics;XLY
Aerospace & Defense;ITA
Asset Management;IAI
Auto Manufacturers;CARZ
Banks - Diversified;KBE
Beverages - Non-Alcoholic;PBJ
Biotechnology;XBI
Capital Markets;KCE
Communication Equipment;XLC
Conglomerates;SPY
Credit Services;XLF
Diagnostics & Research;XLV
Discount Stores;XRT
Drug Manufacturers - General;XLV
Entertainment;PEJ
Farm & Heavy Construction Machinery;XLI
Farm Products;MOO
Financial Data & Stock Exchanges;IAI
Footwear & Accessories;XLY
Grocery Stores;XLP
Healthcare Plans;IHF
Home Improvement Retail;XLY
Household & Personal Products;XLP
Information Technology Services;XLK
Integrated Freight & Logistics;IYT
Internet Content & Information;XLC
Internet Retail;ONLN
Lodging;PEJ
Medical Devices;IHI
Medical Instruments & Supplies;IHI
Oil & Gas E&P;XOP
Oil & Gas Equipment & Services;OIH
Oil & Gas Integrated;XLE
Oil & Gas Refining & Marketing;CRAK
Packaged Foods;PBJ
Railroads;IYT
Restaurants;PEJ
Semiconductor Equipment & Materials;SOXX
Semiconductors;SOXX
Software - Application;IGV
Software - Infrastructure;IGV
Specialty Industrial Machinery;XLI
Telecom Services;IYZ
Tobacco;XLP
Travel Services;JETS
Utilities - Diversified;XLU
Utilities - Regulated Electric;XLU